Description,Question,Equation,Input Numbers,Output
katie loves to travel . on her birthday she decided to go on a trip on a mysterious continent . her first destination was in an island of statues which is number0 miles from her place . she took a plane that made number1 stopovers the number2 stopover after covering number3 miles and the number4 stopover after another number5 miles .,how much farther is the island from the number6 stopover ?,- number0 + number3 number5,436 2 1 132 2 236 2,68.0
katie spent a total $ number0 on her whole stay in the island . if she spent $ number1 on food and $ number2 on hotel rooms,how much did she spend on buying other stuff ?,- number0 + number1 number2,350.00 125.00 135.00,90.0
next she went to a country full of mountains . there she saw number0 species of insects reptiles and birds . if she saw number1 insect species and number2 bird species,how many reptile species did she see ?,- number0 + number1 number2,532 253 143,136.0
after the mountain country she went to the famous beach on the continent . there she collected number0 seashells of different colors . if she has number1 red shells and number2 green shells,how many shells are not red or green ?,- number0 + number1 number2,291 76 49,166.0
thanksgiving is coming and dr. mary wants to celebrate it by sharing her blessing to different charities . she first went to oldtown where she donated $ number0 in total to number1 different nursing homes . if she gave $ number2 to the first home and $ number3 to the second,how much did she give to the third home ?,- number0 + number2 number3,700.00 3 245.00 225.00,230.0
she then went to number0 orphanages and donated a total of $ number1 . if she gave $ number2 to the first orphanage and $ number3 to the third,how much did she donate to the second orphanage ?,- number1 + number2 number3,3 650.00 175.00 250.00,225.0
next on her list are the homeless people where she spent a total of $ number0 . if she gave $ number1 to the first set of homeless families and $ number2 to the second set of families,how much did she give to the last set of homeless families ?,- number0 + number1 number2,900.00 325.00 260.00,315.0
lastly she donated $ number0 to number1 different soup kitchens in her town . if she gave $ number2 to the first soup kitchen and $ number3 to the second,how much did she donate to the third ?,- number0 + number2 number3,800.00 3 300.00 238.00,262.0
for the roof john would need number0 sets of metal bars for support . if each set has number1 metal bars,how many metal bars are there in all ?,* number0 number1,2 7,14.0
for the final touches john wanted to paint the house using the number0 primary colors . if he has number1 liters of paint for each color,how many liters of paint does he have in all ?,* number0 number1,3 5,15.0
the kids from oakwood elementary school are visiting a bird zoo for their field trip . to get to the bird zoo from the school the kids have to ride some buses . if there are number0 buses and each bus has number1 adult supervisors to guide the children,how many supervisors are there in total ?,* number0 number1,7 3,21.0
if each bus have number0 rows of seats and each row of seats can accommodate number1 children,how many children can each bus accommodate ?,* number0 number1,9 4,36.0
at the bird zoo the kids were able to visit number0 different bird cages each containing number1 different kinds of birds .,how many different kinds of birds did the children see from the bird cages ?,* number0 number1,5 8,40.0
at the back of the zoo is a mountain where the birds can roam free in a natural habitat . the children saw number0 types of eagles living on each section of the mountain . if the mountain has number1 sections,how many types of eagles did the children see in total ?,* number0 number1,6 3,18.0
their last stop before leaving the zoo is the bird museum . there they went through number0 bird exhibits spending number1 minutes going around each exhibit .,how much time did they spend going through the museum ?,* number0 number1,7 9,63.0
annie takes trick or treating seriously . so days before halloween she makes sure that the details of her trick or treating are well planned . first she wanted to find out the number of houses in her village . if the village has number0 houses per block and has a total of number1 blocks,how many houses are there in her village ?,* number0 number1,5 9,45.0
she also estimated the number of candies that she will receive from each block . if she will receive around number0 pieces of candies from every house and there are number1 houses in a block,how many candies will she receive from each block ?,* number0 number1,7 5,35.0
she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks,how many children will go trick or treating in annie 's village ?,* number0 number1,6 9,54.0
annie also planned the time she would spend going around the number0 blocks in her village . if she plans on spending just number1 minutes on each block,how much time would it take for her to finish trick or treating ?,* number0 number1,9 8,72.0
finally she planned on going to the halloween party in the village club house . she wanted to make sure that she will have the perfect costume so she rented number0 different costumes from the halloween store . if each costume rent costs $ number1,how much did she spend on all the costumes ?,* number0 number1,4 2.00,8.0
being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots,how many flying robots does michael have ?,* number0 number1,4 3,12.0
tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2,how much should tom pay ?,* number1 number2,1 3 3.00,9.0
before they end the meeting tom counted the total number of robots in his collection . he has number0 sets of robots and each set is composed of number1 robots .,how many robots does tom have in his collection ?,* number0 number1,6 7,42.0
michelle likes to save money every now and then so that she has money to buy the things that she wants . number0 day she decided to count her savings . she opened her piggy bank and sorted out the different coins and dollar bills . if she counted a total of number1 nickels ( a nickel is equivalent to number2 cents ),what is the total value of money does she have in nickels ?,* number1 number2,1 20 5,100.0
daniel and his brother ben went to their grandfather 's farm for a few weeks of vacation . during their stay at the farm they were asked to take care of the animals . number0 day his grandfather asked if he could count the total number of sheep that they have . if there are number1 herds of sheep and each herd has number2 sheep,how many sheep do they have in total ?,* number1 number2,1 3 20,60.0
ben on the other hand was asked to count the number of cows that they have . he saw that there are a total of number0 cows for every cow herd .,how many cows do they have in total if there are number1 cow herds in the farm ?,* number0 number1,40 8,320.0
both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop .,how many chickens do they have in total ?,* number0 number1,9 60 1,540.0
ben was also given number0 trays of eggs to examine . if each tray has number1 eggs,how many eggs did ben examine in total ?,* number0 number1,7 10,70.0
after they vacation they figured out that the farm was divided into number0 sections and each section has a land area of number1 acres .,what is the total area of the farm ?,* number1 number0,5 60,300.0
jenny and her family just moved into a new city and today would be her first day on a new school . she wanted to make sure that she is well rested so she made sure that she had number0 hours of sleep . if an hour is composed of number1 minutes,how many minutes of sleep did she have ?,* number0 number1,8 60,480.0
she also ate a hearty breakfast so that she would have enough energy . she bought number0 pieces of her favorite bread . if each piece of bread costs number1 cents,how much did jenny spend for her breakfast ?,* number0 number1,5 30,150.0
to get to school jenny decided to ride the school 's double decker bus . the bus has a total of number0 rows of seats and each row has a capacity of number1 kids .,how many kids in total can ride the school bus ?,* number0 number1,20 4,80.0
when she got to school she saw that the school is composed of number0 buildings each having number1 classrooms .,how many classrooms does the school have ?,* number0 number1,9 30,270.0
she also tried to get to know the teachers in the school . she found out that there are number0 departments in the school and each department has number1 teachers .,how many teachers are there in total ?,* number0 number1,7 20,140.0
stanley a car enthusiast loves to drive across different places as a hobby . so for his vacation he decided to go around his favorite places . his first destination is the famous sky falls number0 of the tallest waterfalls in his country . it is said to be number1 times as tall as the tallest building in their city . if the building is number2 feet tall,how tall is sky falls ?,* number1 number2,1 20 9,180.0
when he arrived there he went on to climb to the top of the falls . it usually takes number0 minutes for someone to get to the top . stanley took time to see the view so his climb took number1 times longer than the usual .,how many minutes did it take stanley to get to the top ?,* number0 number1,30 7,210.0
after going down the falls he then went to rock mist mountains . if the mountain is number0 times farther from the city than sky falls and sky falls is number1 miles from the city,how far is the rocky mist from the city ?,* number0 number1,50 8,400.0
before reaching the mountains stanley stopped over a car shop to buy new tires for the road . if he bought number0 tires each for $ number1,how much did he spend for tires in total ?,* number0 number1,4 60.00,240.0
it 's valentine 's day in the city and mayor harvey wants to celebrate by giving the institutions for women some flowers . his first beneficiary was the nursing home for old women . he bought number0 sets of flowers number1 pieces each .,how many flowers did he buy for the nursing home ?,* number0 number1,3 90,270.0
vice-mayor alexander wanted to join in with the mayor 's advocacy . he organized a party and invited the whole city to attend . if he hired number0 caterers having number1 employees each,how many people are working for the party ?,* number0 number1,5 50,250.0
after the day they were able to make number0 institutions happy . if each institution has number1 people .,how many people were made happy by the mayor and vice-mayor ?,* number0 number1,6 80,480.0
dean went to the beach with his friends to enjoy the last weeks of summer . when they got to the beach they rented a house for them to stay in for a couple of weeks . if there are number0 of them including dean and each paid $ number1 for the rent,how much did they pay in total ?,* number0 number1,7 70.00,490.0
dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks there,how many sets of clothes did he bring ?,* number0 number1,30 4,120.0
after resting they decided to go for a swim . if the depth of the water is number0 times dean 's height and he stands at number1 feet,how deep was the water ?,* number0 number1,10 6,60.0
mark dean 's friend decided to go for a boat ride . if the ride costs $ number0 for every mile and they travelled for number1 miles,how much would the ride cost mark ?,* number0 number1,8.00 40,320.0
bryan has always been fond of studying rocks and minerals . he has a room full of books about and samples of the different types of rocks . number0 particular day he went in the room to take a look at his mineral samples . if he has number1 samples of minerals per shelf and he has a total of number2 shelves,how many mineral samples does he have ?,* number1 number2,1 65 7,455.0
bryan took a look at his books as well . if he has number0 books in each of his number1 bookshelves,how many books does he have in total ?,* number0 number1,56 9,504.0
bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each,how much money did bryan get in total ?,* number0 number1,8 1785.00,14280.0
it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily .,how many apples are harvested every day ?,* number0 number1,45 8,360.0
next on his checklist are the strawberry fields . there he found out that they can get number0 kg of fruit for every row of strawberry plants . if there are number1 rows of strawberry plants,how many kilograms of strawberries can they harvest ?,* number0 number1,268 7,1876.0
he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day .,how many sacks of oranges will they have after number1 days of harvest ?,* number0 number1,83 6,498.0
being his favorite he saved checking on the grapevines for his last stop . he was told by number0 the pickers that they fill number1 drums of grapes per day .,how many drums of grapes would be filled in number2 days ?,* number1 number2,1 324 9,2916.0
if lewis earns $ number0 every week during the number1 weeks of harvest .,how much money does he earn during harvest season ?,* number0 number1,1367.00 5,6835.0
tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birds,how many pairs does he have in total ?,* number0 number1,29 7,203.0
another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes,how many fishes does he have in total ?,* number0 number1,6 175,1050.0
he also had number0 aquariums for saltwater animals . each aquarium has number1 animals in it .,how many saltwater animals does tyler have ?,* number0 number1,8 64,512.0
the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptiles,how many reptiles are living in the swamp areas ?,* number0 number1,4 356,1424.0
there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet .,what is the total area of the undeveloped land ?,* number0 number1,3 2435,7305.0
it 's rachel 's birthday . her parents wanted her to have fun so they went to the circus that happened to be in town that day . upon arriving at the circus they went to the ticket booth and asked how much each ticket cost . if each ticket costs $ number0 and they bought number1 tickets,how much money did they spend on tickets ?,* number0 number1,44.00 7,308.0
they entered the circus tent and saw that there are number0 seating sections for the audience . if each section can accommodate number1 people,how many people can the tent accommodate in total ?,* number0 number1,4 246,984.0
the first act included number0 clown mobiles each stuffed with number1 clowns .,how many clowns are inside all the clown mobiles combined ?,* number0 number1,5 28,140.0
the next act involved several jugglers . if each juggler is juggling number0 balls at a time,how many balls are needed if there are number1 jugglers putting a show at the same time ?,* number0 number1,6 378,2268.0
for the final act the circus brought out dancing animals wearing crowns . if each crown is made with number0 different colored feathers,how many feathers are needed for number1 crowns ?,* number0 number1,7 934,6538.0
amanda and her friends decided to go to an amusement park for the weekend . the nearest amusement park from their city is super fun-tastic land . if they cover a distance of number0 miles for every hour of travel and they travelled for number1 hours,how far is sfl from the city ?,* number0 number1,27 3,81.0
when they got there they saw that sfl is already filled with people . every entrance has a long line with number0 people waiting to get in . if sfl has number1 entrances,how many people in total are waiting to get in ?,* number0 number1,283 5,1415.0
determined to have fun they travelled to the next amusement park happyland . if they cover a distance of number0 feet for every minute of travel and they travelled for number1 minutes,how far is happyland from sfl ?,* number0 number1,328 9,2952.0
when they arrived at happyland they immediately went in and bought their tickets . if each ticket cost $ number0 and they bought number1 tickets,how much did they spend on tickets ?,* number0 number1,17.00 8,136.0
he also has a section filled with short story booklets . if each booklet has number0 pages and there are number1 booklets in the short story section,how many pages will jack need to go through if he plans to read them all ?,* number0 number1,9 49,441.0
number0 of his favorites is a book called encyclopedia of life and everything else . the book has number1 large chapters each having number2 pages .,how many pages does the encyclopedia have in total ?,* number1 number2,1 7 566,3962.0
the mini library also has a section for the classics . if jack has a collection of number0 classic authors with each author having number1 books,how many books does he have in the classics section ?,* number0 number1,6 33,198.0
allen shiela 's brother likes to play with blocks . shiela repainted allen 's old blocks in different colors . if allen has number0 identical blocks and there are number1 blocks for every color of paint used,how many colors did shiela use ?,/ number0 number1,49 7,7.0
aside from drawing animals shiela is fond of painting flowers . if she has number0 paintings of flowers,how many paintings can she give to each of her number1 grandmothers ?,/ number0 number1,18 2,9.0
it has been tradition in shiela 's home to hang a sock above the fireplace for each member of the family . this year she placed a cinnamon ball every day in the socks for number0 of her family members .,how long can she do this if she bought number1 cinnamon balls ?,/ number1 number0,5 50,10.0
haley loves to collect things . this year she decided to give away part of her collection as it was taking too much space in her room . number0 of her closest friends like stickers . if she plans to give all of them an equal number of stickers,how many will each receive if she has number1 stickers ?,/ number1 number0,9 72,8.0
in haley 's class number0 are boys who love to play marbles . if haley has number1 marbles,how many will each of the boys receive ?,/ number1 number0,5 35,7.0
when relatives visit haley and her family she and her cousins do origami . if she has number0 origami papers to give away to her number1 cousins,how many will each receive if she gives everyone the same number of origami papers ?,/ number0 number1,48 6,8.0
a large bag of balls was kept under haley 's bed . her mom placed the balls in bags for children in foster homes . if every bag can contain number0 balls and haley has number1 balls,how many bags will be used ?,/ number1 number0,4 36,9.0
haley has number0 magazines in her cabinet . she plans to send it to the recycling office in their area . if she places it in boxes which can contain number1 magazines,how many boxes will she use ?,/ number0 number1,63 9,7.0
number0 bright sunny day betty decided to make bracelets from beautiful stones she bought from a local store . she bought number1 pink flower stones and wanted to make number2 bracelets out of these stones .,how many pink flower stones will each bracelet have if she used the same number of stones in each bracelet ?,/ number1 number2,1 88 8,11.0
betty also bought number0 shiny blue round stones . if number1 pieces of this stone is in each bracelet,how many bracelets of blue shiny round stones will there be ?,/ number0 number1,140 14,10.0
brenda betty 's sister wanted to have number0 bracelets with star-shaped stones . she also bought number1 star-shaped stones from the local store and gave it to betty .,how many star-shaped stones will there be in each of the bracelet betty makes for brenda ?,/ number1 number0,3 36,12.0
shannon brenda 's neighbor joined brenda in making bracelets . she brought number0 heart-shaped stones and wanted to have number1 of this type of stone in each of the bracelet she makes .,how many bracelets with heart-shaped stones can shannon make ?,/ number0 number1,48 8,6.0
brenda 's mother made cookies for number0 . if she prepared number1 cookies and each of them had the same number of cookies,how many did each of them have ?,/ number1 number0,5 35,7.0
on the first saturday of spring jane woke up early to enjoy the whole day and help with chores at home . jane had been saving large empty cans to serve as pots for sunflowers . if she has number0 sunflower seeds and there are number1 cans,how many seeds will be placed in each can if she places an equal number of seeds in each can ?,/ number0 number1,54 9,6.0
jane 's mom picked cherry tomatoes from their backyard . if she gathered number0 cherry tomatoes and is about to place them in small jars which can contain number1 cherry tomatoes at a time,how many jars will she need ?,/ number0 number1,56 8,7.0
jane helped her mom prepare fresh lemonade . if each glass needs number0 lemons,how many glasses of fresh lemonade can she make if they have number1 lemons ?,/ number1 number0,2 18,9.0
for dessert jane 's mom prepared number0 pieces of bite-size cinnamon swirls . if the number1 of them ate an equal number of pieces of cinnamon swirls,how many pieces did jane eat ?,/ number0 number1,12 3,4.0
marian also baked oatmeal cookies for her classmates . if she can place number0 cookies on a tray at a time,how many trays will she need to prepare number1 oatmeal cookies at a time ?,/ number1 number0,12 276,23.0
marian 's friends were coming over that afternoon so she made number0 bite-sized pretzels . if number1 serving is equal to number2 pretzels,how many servings of bite-sized pretzels was marian able to prepare ?,/ number0 number2,480 1 12,40.0
susie and her sister gathered all number0 of their teddy bears and placed them on the shelves in their bedroom . if every shelf can carry a maximum of number1 teddy bears,how many shelves will be filled ?,/ number0 number1,98 7,14.0
susie 's mother collected all family pictures and wanted to place all of them in an album . if an album can contain number0 pictures,how many albums will she need if there are number1 pictures ?,/ number1 number0,20 480,24.0
susie 's father repaired the bookshelves in the reading room . if he has number0 books to be distributed equally on the number1 shelves he repaired,how many books will each shelf contain ?,/ number0 number1,210 10,21.0
matt and his friends were thinking of making christmas decors for the clubhouse in their neighborhood . they are to repaint number0 balls in number1 different colors . if they painted an equal number of balls for every color,how many balls are there for each color ?,/ number0 number1,350 10,35.0
they also gathered paper to create some star-shaped papier-mache . if each star requires number0 pieces of paper and they had number1 pieces of paper,how many stars were they able to make ?,/ number1 number0,20 680,34.0
allen charles lex and shiela spent days reading books for their book report . the texts were printed very small so they were only able to cover very few pages a day . allen read about the solar system . he read number0 pages a day of a book which has number1 pages .,how many days did it take allen to finish reading the book ?,/ number1 number0,10 120,12.0
lex read a number0 page book about music and instruments . if he can read exactly number1 pages a day,how many days will it take lex to finish reading the book ?,/ number0 number1,420 30,14.0
lex read another book with number0 pages . if he read the same number of pages for number1 days,how many pages did he read every day ?,/ number0 number1,240 12,20.0
shiela was into history of asia . she can read number0 pages per hour of the book entitled `` asia 's history made easy '' . if the encyclopedia has number1 pages,how many hours did it take shiela to finish reading the book ?,/ number1 number0,11 143,13.0
paul got a box of number0 crayons for his birthday . at the end of the school year he only had number1 left .,how many crayons had been lost or given away ?,- number0 number1,479 134,345.0
number0 birds were sitting in a tree . number1 more birds flew up to the tree .,how many birds were there altogether in the tree ?,+ number0 number1,179 38,217.0
cindy 's mom baked number0 cookies . paul 's dad baked number1 cookies . they both brought them to school for a party .,how many cookies did they have altogether ?,+ number0 number1,1215 1112,2327.0
beth has number0 crayons . she gives number1 of them away to jen .,how many crayons does beth have left ?,- number0 number1,106 54,52.0
misha has number0 dollars .,how many dollars does she have to earn to have number1 dollars to buy a dog ?,- number1 number0,34 47,13.0
james had number0 stickers . he got some more stickers for his birthday . then he had number1 stickers .,how many stickers did james get for his birthday ?,- number1 number0,39 61,22.0
there were number0 geese in the farmer 's field . number1 of the geese flew away .,how many geese were left in the field ?,- number0 number1,51 28,23.0
there were number0 boys and number1 girls on the playground at recess .,how many children were on the playground at recess ?,+ number0 number1,27 35,62.0
paul had number0 strawberries in his basket . he picked number1 more strawberries .,how many strawberries did he have then ?,+ number0 number1,28 35,63.0
gary had number0 dollars . he spent number1 dollars on a pet snake .,how many dollars did gary have left ?,- number0 number1,73 55,18.0
there are number0 butterflies . each butterfly has number1 black dots and number2 yellow dots .,how many black dots are there in all ?,* number0 number1,397 12 17,4764.0
if you had number0 bags of cookies with number1 cookies in each bag,how many cookies would you have ?,* number0 number1,37 19,703.0
if each piece costs number0 cents,how much would number1 pieces of bubble gum cost ?,* number1 number0,18 136,2448.0
the ferris wheel in paradise park has number0 seats . each seat can hold number1 people .,how many people can ride the ferris wheel at the same time ?,* number0 number1,14 6,84.0
a garden has number0 rows and number1 columns of bean plants .,how many plants are there in all ?,* number0 number1,52 15,780.0
a sandbox is number0 centimeters long and number1 centimeters wide .,how many square centimeters of ground does the sandbox cover ?,* number0 number1,312 146,45552.0
sarah picked number0 apples . her brother picked number1 apples .,how many times as many apples did sarah pick ?,/ number0 number1,45 9,5.0
we ordered number0 pizzas . each pizza has number1 slices .,how many slices of pizza are there altogether ?,* number0 number1,21 8,168.0
chris gave his number0 friends number1 pieces of candy each .,how many pieces of candy did chris give his friends ?,* number0 number1,35 12,420.0
emily collected eggs from the hen and put them into number0 baskets . she put number1 eggs into each basket .,how many eggs did emily collect ?,* number0 number1,303 28,8484.0
there are number0 leaves . there are number1 ladybugs on each leaf .,how many ladybugs are there in all ?,* number0 number1,84 139,11676.0
there are number0 baskets . there are number1 apples in each basket .,how many apples are there in all ?,* number0 number1,37 17,629.0
there are number0 pots . each pot has number1 flowers in it .,how many flowers are there in all ?,* number0 number1,544 32,17408.0
beth has number0 packs of crayons . each pack has number1 crayons in it . she also has number2 extra crayons .,how many crayons does beth have altogether ?,+ * number0 number1 number2,4 10 6,46.0
ted has number0 candy bars . he wants to put them into number1 bags so there are the same number of candy bars in each bag .,how many candy bars should go in each bag ?,/ number0 number1,15 5,3.0
martha bought number0 small cakes . she has number1 children . she would like to divide the cakes among her children so that each child gets the same amount .,how many cakes would each child get ?,/ number0 number1,18 3,6.0
julian is writing a comic book . his story has number0 frames in all . if he wants to put exactly number1 frames on each page,how many pages would he have ?,/ number0 number1,143 11,13.0
jesse 's room is number0 feet long and number1 feet wide .,how much carpet does she need to cover the whole floor ?,* number0 number1,12 8,96.0
it takes number0 feet of cotton to make a tee-shirt .,how many tee-shirts can be made with number1 feet of material ?,/ number1 number0,4 60,15.0
lukas averages number0 points per game in basketball .,how many points would he score in number1 games ?,* number0 number1,12 5,60.0
my car gets number0 miles per gallon .,how many miles can i drive on number1 gallons of gas ?,* number0 number1,20 5,100.0
my car gets number0 miles per gallon of gas . if grandma 's house is number1 miles away,how many gallons of gas would it take to get to her house ?,/ number1 number0,20 100,5.0
melissa scored number0 points in each game .,how many points did she score in number1 games ?,* number0 number1,120 10,1200.0
johnny practiced for the track team and ran number0 laps per minute .,how many minutes did it take johnny to run number1 laps ?,/ number1 number0,3 10,3.333
our watermelons have number0 seeds each . if we have number1 watermelons,how many seeds should there be when all seeds are taken out of the watermelons ?,* number0 number1,100 4,400.0
number0 people are going to the zoo . there are number1 cars to take people to the zoo .,how many will go in each car if the same number go in each car ?,/ number0 number1,63 3,21.0
i have number0 cents to buy candy . if each gumdrop costs number1 cents,how many gumdrops can i buy ?,/ number0 number1,80 4,20.0
maggi had number0 packages of cupcakes . there are number1 cupcakes in each package . she ate number2 cupcakes .,how many are left ?,- * number0 number1 number2,3 4 5,7.0
number0 children are taking a bus to the zoo . they sit number1 children in every seat .,how many seats will the children need in all ?,/ number0 number1,58 2,29.0
the razorback t-shirt shop ordered number0 cases of t-shirts . if each case contains number1 t-shirts,how many t-shirts did they order ?,* number0 number1,12 24,288.0
the razorback t-shirt shop sells their t-shirts for $ number0 . last week they sold number1 t-shirts .,how much money did they make last week ?,* number0 number1,16 45,720.0
warren has number0 guests coming to his party . each table will hold number1 guests .,how many tables will he need ?,/ number0 number1,252 4,63.0
ellen had number0 legos but she lost number1 of them .,how many legos does she have now ?,- number0 number1,380 57,323.0
arthur baked number0 muffins .,how many more muffins does arthur have to bake to have number1 muffins ?,- number1 number0,35 83,48.0
willy has number0 crayons . lucy has number1 crayons .,how many more crayons does willy have then lucy ?,- number0 number1,1400 290,1110.0
there are number0 stickers on a page . if you have number1 pages of stickers,how many stickers do you have ?,* number0 number1,10 22,220.0
there are number0 cupcakes for number1 children to share .,how much will each person get if they share the cupcakes equally ?,/ number0 number1,96 8,12.0
lizette has number0 stamps . she has number1 more stamps than minerva .,how many stamps does minerva have ?,- number0 number1,813 125,688.0
white t-shirts can be purchased in packages of number0 if mom buys number1 packages,how many white t-shirts will she have ?,* number0 number1,6 71,426.0
i have number0 pencils . if i put number1 pencils in each pencil box,how many pencil boxes will i fill ?,/ number0 number1,648 4,162.0
uncle dave bought number0 ice cream sandwiches . if he wants to give them to his number1 hungry nieces,how many can each niece get ?,/ number0 number1,143 11,13.0
megan had number0 markers . robert gave her number1 more markers .,how many markers does megan have altogether ?,+ number0 number1,217 109,326.0
a dvd book holds number0 dvds . there are number1 dvds already in the book .,how many more dvds can be put in the book ?,- number0 number1,126 81,45.0
kelly has number0 nintendo games .,how many does she need to give away so that she will have number1 games left ?,- number0 number1,121 22,99.0
connie had some marbles . she gave number0 to juan . now she has number1 marbles left .,how many did she have to start with ?,+ number1 number0,183 593,776.0
iesha has number0 books . number1 are about school and the rest are about sports .,how many books about sports does iesha have ?,- number0 number1,344 136,208.0
james has number0 balloons . amy has number1 balloons .,how many more balloons does james have than amy ?,- number0 number1,1222 513,709.0
sean has number0 whistles . he has number1 more whistles that charles .,how many whistles does charles have ?,- number0 number1,223 95,128.0
connie has number0 marbles . juan has number1 more marbles than connie .,how many marbles does juan have ?,+ number0 number1,323 175,498.0
adam has $ number0 to buy an airplane that costs $ number1 .,how much change will he get ?,- number0 number1,5.00 4.28,0.72
if each ball costs $ number0,how much must kyoko pay for number1 balls ?,* number0 number1,1.54 3,4.62
tony had $ number0 . he paid $ number1 for a ticket to a baseball game . at the game he bought a hot dog for $ number2 .,what amount of money did tony have then ?,- - number0 number1 number2,20 8 3,9.0
mr. guzman bought number0 doughnuts packed equally into number1 boxes .,how many doughnuts were in each box ?,/ number0 number1,48 4,12.0
number0 stamp costs $ number1 . number2 stamps cost $ number3 . number4 stamps cost $ number5 . if the cost of each stamp remains the same,how much would number6 stamps cost ?,+ number5 number1,1 0.34 2 0.68 3 1.02 4,1.36
the town of milburg has number0 grown-ups and number1 children .,how many people live in milburg ?,+ number0 number1,5256 2987,8243.0
lisa rented number0 dvds for $ number1 .,how much did each dvd cost to rent ?,/ number1 number0,4 4.80,1.2
there were number0 pieces of candy in a jar . if number1 pieces were red and the rest were blue,how many were blue ?,- number0 number1,3409 145,3264.0
on friday number0 people visited the zoo . number1 times as many people visited on saturday than on friday .,how many people visited the zoo on saturday ?,* number0 number1,1250 3,3750.0
third-grade students went to a concert in number0 buses . each bus took number1 students .,how many students went to the concert ?,* number0 number1,8 45,360.0
in number0 week an airplane pilot flew number1 miles on tuesday and number2 miles on thursday . if the pilot flies the same number of miles number3 weeks in a row,how many miles does he fly in all ?,* + number1 number2 number3,1 1134 1475 3,7827.0
number0 students were sitting at each table in the lunchroom . there are number1 tables .,how many students were sitting in the lunchroom ?,* number0 number1,6 34,204.0
tyler had number0 dogs . each dog had number1 puppies .,how many puppies does tyler now have ?,* number0 number1,15 5,75.0
the farmer had number0 apples . he gave number1 apples to his neighbor .,how many apples does he have now ?,- number0 number1,127 88,39.0
jill invited number0 people to her birthday party . they each ate number1 pieces of pizza .,how many pieces of pizza did they eat ?,* number0 number1,37 8,296.0
mrs. hilt went to a concert . a total of number0 people attended the concert . the next week she went to a second concert which had number1 more people in attendance .,how many people were at the second concert ?,+ number0 number1,65899 119,66018.0
mrs. hilt baked pies last weekend for a holiday dinner . she baked number0 pecan pies and number1 apples pies . if she wants to arrange all of the pies in rows of number2 pies each,how many rows will she have ?,/ + number0 number1 number2,16 14 5,6.0
mrs. hilt needs to share $ number0 equally among number1 total people .,how much money will each person get ?,/ number0 number1,3.75 3,1.25
mrs. hilt read number0 books . each book had number1 chapters in it .,how many chapters did mrs. hilt read ?,* number0 number1,4 17,68.0
mrs. hilt is baking bread . she needs number0 cups of flour to bake number1 loaves of bread .,how much flour will she need to make number2 loaf of bread ?,/ number0 number1,5 2 1,2.5
mrs. hilt saw a rollercoaster . number0 students rode the rollercoaster every number1 minutes .,how many students rode the rollercoaster in number2 minutes ?,* number0 / number2 number1,7 5 15,21.0
mrs. hilt saw number0 bees in the hive . the next day she saw number1 times that many .,how many bees did she see on the second day ?,* number0 number1,144 3,432.0
mrs. hilt measured the distance from her desk to the water fountain . it was number0 feet .,how many feet will mrs. hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,* number0 number1,30 4,120.0
lucy has an aquarium with number0 fish . she wants to buy number1 more fish .,how many fish would lucy have then ?,+ number0 number1,212 68,280.0
lucy has number0 fish .,how many more fish does she need to buy to have number1 fish ?,- number1 number0,212 280,68.0
harry hound had a terrible earache yesterday . when i peered into his ears yesterday i found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . i cleaned out harry hound 's ears .,how many fleas perished ?,+ number0 number1,36 85,121.0
a pet supply store has number0 bags of dog food and number1 bags of cat food .,how many more bags of dog food are there than cat food ?,- number0 number1,600 327,273.0
number0 people are watching a movie in a theater . the theater has number1 seats .,how many seats are empty in the theater ?,- number1 number0,532 750,218.0
shelby had number0 pieces of candy . she gave number1 pieces each to number2 friends .,how many pieces of candy does shelby have left ?,- number0 * number1 number2,92 4 9,56.0
anita needs number0 cartons of berries to make a berry cobbler . she already has number1 cartons of strawberries and number2 cartons of blueberries .,how many more cartons of berries should anita buy ?,- number0 + number1 number2,26 10 9,7.0
