input	Equation
megan has number0 seashells .how many more seashells does she need to find to have number1 seashells in her collection ?	- number1 number0
allen shiela 's brother likes to play with blocks . shiela repainted allen 's old blocks in different colors . if allen has number0 identical blocks and there are number1 blocks for every color of paint usedhow many colors did shiela use ?	/ number0 number1
number0 dogs are barking . number1 more dogs start to bark .how many dogs are barking ?	+ number0 number1
for a party henry spent number0 dollars on food and number1 dollars on drinks .how much did henry spend total ?	+ number0 number1
because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes while number1 suggested adding bacon to the menuhow many students participated in the suggestion of new food items ?	+ number0 number1
after paying $ number0 for a drink bryon has $ number1 .how much money did he have before buying the drink ?	+ number0 number1
there were number0 pineapples in a store . the owner sold number1 pineapples . number2 of the remaining pineapples were rotten and thrown away .how many fresh pineapples are left ?	- - number0 number1 number2
frank had number0 boxes . if he filled number1 with toyshow many boxes does he still have ?	- number0 number1
for halloween faye scored number0 pieces of candy . she ate number1 pieces the first night and then her sister gave her number2 more pieces .how many pieces of candy does faye have now ?	+ - number0 number1 number2
robin bought number0 sodas for her and her friends . if they only drank number1 of themhow many extras did she have ?	- number0 number1
carol was helping her mom plant vegetables in the garden . together they planted number0 rows of potatoes with number1 seeds in each row .how many potatoes did they plant total ?	* number0 number1
paige used number0 of her pencils . now she has number1 pencils .how many pencils did paige have to begin with ?	+ number0 number1
when they arrived at the island 's starting point they looked at the clues and found out that the number of steps they need to take to get to the next clue is the difference between number0 and number1 howmany steps do they have to take to get to the next clue ?	- number0 number1
the clown blew up number0 balloons . then he blew up number1 more balloons .how many balloons does the clown have now ?	+ number0 number1
number0 children and number1 adults went to the track meet . the stadium has number2 seats .how many seats were empty ?	- - number2 number0 number1
at the baseball stadium the price for popcorn is $ number0 for number1 bags . if you wanted to buy number2 bags of popcornhow much would it cost ?	* / number0 number1 number2
sally memorized number0 poems . after some time she could only recite number1 of them .how many poems did she forget ?	- number0 number1
morgan has number0 red pens number1 blue pens and number2 black pens .how many pens does she have ?	+ + number0 number1 number2
it is buddy 's first day at a new school and he is feeling very nervous . his day begins with some bacon and egg prepared by his mother . after eating and preparing buddy headed out to catch the school bus from the nearest bus stop . including buddy there were number0 students that got on the bus during the first stop . if number1 more students got on the bus at the second stophow many students are riding the bus ?	+ number0 number1
zoe picked number0 apples from her tree . now the tree has number1 apples still on it .what 's the difference between the number of apples zoe picked and now the tree has ?	- number1 number0
alyssa had number0 cookies . aiyanna has number1 what's the difference of the number of alyssa 's cookies and aiyanna 's cookies ?	- number1 number0
michelle likes to save money every now and then so that she has money to buy the things that she wants . number0 day she decided to count her savings . she opened her piggy bank and sorted out the different coins and dollar bills . if she counted a total of number1 nickels ( a nickel is equivalent to number2 cents )what is the total value of money does she have in nickels ?	* number1 number2
bobby ate number0 pieces of candy . then he ate number1 more .how many pieces of candy did bobby eat ?	+ number0 number1
a chess club has number0 members . if number1 new members are enrolledhow many total members are there in the chess club ?	+ number0 number1
robin had number0 pieces of gum . her brother gave her some more pieces . now robin has number1 pieces in all .how many pieces of gum did robin 's brother give her ?	- number1 number0
the wings now need to be heated . if the oven is at number0 degrees and the required temperature is number1 degreeshow many more degrees does the oven temperature need to increase ?	- number1 number0
a florist had number0 roses . if she sold number1 of them and then later picked number2 morehow many roses would she have ?	+ - number0 number1 number2
christmas came and as usual she received number0 gifts to put under the christmas tree . she wanted to make other kids happy so she sent number1 of her gifts to the orphanage downtown .how many gifts were left under their christmas tree ?	- number0 number1
a pet supply store has number0 bags of dog food and number1 bags of cat food .how many more bags of dog food are there than cat food ?	- number0 number1
at the arcade billy had won number0 tickets . after buying a yoyo he had number1 tickets left .what 's the difference between the number of billy 's tickets he won and he had the left after buying yoyo ?	- number0 number1
there are number0 students in the school band . if the band instructor put the students into rows with number1 students in each rowhow many rows could he make ?	/ number0 number1
a waiter had number0 customers in his section . if number1 of them left and the rest of his tables had number2 people at each tablehow many tables did he have ?	/ - number0 number1 number2
a pet shelter had number0 puppies when another number1 were brought in . if number2 puppies a day are adoptedhow long would it take for all of them to be adopted ?	/ + number0 number1 number2
there are number0 dogs in the farm . they live in number1 dog-houses equally .how many dogs are there in each dog-house ?	/ number0 number1
jerry had to sell boxes of candy . he started out with number0 boxes and then sold number1 howmany boxes did he have left ?	- number0 number1
willie the town baker wanted to make the biggest cake their town has ever seen . first he prepared the flour . he is planning to use number0 lbs . of flour . if he has number1 lbs . of flour stored in his bakeryhow much more flour does he need to buy ?	- number0 number1
lisa invited the entire third grade to her party . there are number0 students altogether . number1 of the students are boys and number2 are girls . number3 students will not be able to go to the party .how many students will be there ?	- number0 number3
mrs. hilt went to a concert . a total of number0 people attended the concert . the next week she went to a second concert which had number1 more people in attendance .how many people were at the second concert ?	+ number0 number1
a shoe store was having a back to school sale where you could buy number0 pairs of shoes for $ number1 . if a large family decided to buy number2 pairs of shoeshow much would it cost them ?	* / number1 number0 number2
there are number0 pencils in frances 's pencil collection . if the pencils are organized into number1 groupshow big is each group ?	/ number0 number1
at a candy store you could get number0 giant lollipops for $ number1 .how much would it cost to buy number2 lollipops ?	* / number1 number0 number2
will had number0 bottles of water . if he drank number1 each dayhow many days would they last him ?	/ number0 number1
there were number0 people on the bus . at the next stop number1 more people got on the bus .how many people are there on the bus now ?	+ number0 number1
randy has number0 blocks . he uses number1 blocks to build a tower .how many blocks are left ?	- number0 number1
there are number0 cats in the little town . if number1 of them are a asleephow many cats are still awake ?	- number0 number1
amy was buying different soups . she bought number0 cans of chicken soup and number1 cans of tomato soup .how many soups did she buy ?	+ number0 number1
on the day of the awarding ceremony robyn and lucy decided to sell more cookies during the morning to make sure they get the badge . lucy sold number0 packs and robyn sold number1 howmany packs did they sell on their last day ?	+ number0 number1
the cafeteria had number0 apples . for lunch they handed out number1 to students and decided to use the rest to make pies . if each pie takes number2 appleshow many pies could they make ?	/ - number0 number1 number2
if the all the participants found a total number0 eggs from the club house number1 eggs from the park and number2 eggs from the town hallhow many easter eggs were found that day ?	+ + number0 number1 number2
for finishing touches he needed number0 gallons of paint . if he bought number1 gallons to add to his existing number2 gallons of painthow much more paint will he need ?	- - number0 number1 number2
before lunch a waitress had already earned $ number0 in tips . after lunch she had number1 customers and each customer gave her a number2 dollar tip .how much money did she earn total ?	+ * number1 number2 number0
there are number0 boys and number1 girls in a preschool daycare .how many children are there in the daycare ?	+ number0 number1
ronald has number0 eggs and number1 candies . if he shares the eggs among number2 friendshow many eggs does each friend get ?	/ number0 number2
wendy 's brother had number0 pieces of candy . wendy had number1 boxes with number2 pieces each .how many pieces did they have total ?	+ * number1 number2 number0
vanessa uploaded number0 pictures from her phone and number1 from her camera to facebook . if she sorted the pics into number2 different albums with the same amount of pics in each albumhow many pictures were in each of the albums ?	/ + number0 number1 number2
for halloween bianca received number0 pieces of candy . she ate number1 pieces then placed the rest into piles with number2 in each pile .how many piles could she make ?	/ - number0 number1 number2
he also has a section filled with short story booklets . if each booklet has number0 pages and there are number1 booklets in the short story sectionhow many pages will jack need to go through if he plans to read them all ?	* number0 number1
while on vacation debby took number0 pictures at the zoo and number1 at the museum . if she later deleted number2 of the pictureshow many pictures from her vacation did she still have ?	- + number0 number1 number2
sean has number0 whistles . he has number1 more whistles that charles .how many whistles does charles have ?	- number0 number1
mr. lee gave out first place ribbons after each event . he had number0 ribbons at the start . he gave away number1 ribbons in the morning . he gave out number2 ribbons in the afternoon .how many ribbons did mr. lee have left ?	- - number0 number1 number2
during halloween she was able to get a lot of candies from trick or treating . she decided to give away some of them to the homeless kids nearby . if she has number0 candies and gave away number1how many does she have left ?	- number0 number1
lastly he went to a music store and bought a new set of speakers for his dad 's entertainment system . if the initial price of the speakers is $ number0 he got it for $ number1how much money was he able to save from having a discount ?	- number0 number1
maggi had number0 packages of cupcakes . there are number1 cupcakes in each package . she ate number2 cupcakes .how many are left ?	- * number0 number1 number2
dan 's high school played number0 baseball games this year and number1 were at night . the team won most of their games . they were defeated during number2 games .how many games did they win ?	- number0 number2
an international group had number0 chinese americans and australians . number1 of them were americans and number2 of them were australians .how many chinese were there ?	- - number0 number1 number2
jake read number0 pages of his new book . it has number1 chapters and number2 pages . jake read number3 more pages later that day .how many pages has he read in all ?	+ number0 number3
a museum had number0 paintings . if they got rid of number1 of themhow many pictures would they have left ?	- number0 number1
catherine has number0 bottle caps and number1 blocks . if she shares the bottle caps among number2 friendshow many bottle caps does each friend get ?	/ number0 number2
while organizing her files bianca deleted number0 pictures number1 songs and number2 text files .what is the total number of files she deleted ?	+ + number0 number1 number2
at the town carnival billy rode the ferris wheel number0 times and the bumper cars number1 times . if each ride cost number2 ticketshow many tickets did he use ?	* + number0 number1 number2
there are number0 passengers on a bus . number1 of them are men number2 of them are women and the rest are children .how many children are there on the bus ?	- - number0 number1 number2
rachel picked number0 apples from her tree . now the tree has number1 apples still on it .how many apples did the tree have to begin with ?	+ number0 number1
maria was buying dvds of her old favorite tv series . she bought number0 dvds at the store and she bought number1 online .how many dvds did she buy total ?	+ number0 number1
haley has number0 magazines in her cabinet . she plans to send it to the recycling office in their area . if she places it in boxes which can contain number1 magazineshow many boxes will she use ?	/ number0 number1
maria took number0 fish out of her fish tank . now there are number1 fish in the tank .how many fish were in the tank to start with ?	+ number0 number1
my car gets number0 miles per gallon .how many miles can i drive on number1 gallons of gas ?	* number0 number1
connie had some marbles . she gave number0 to juan . now she has number1 marbles left .how many did she have to start with ?	+ number1 number0
kate maggie and sue added up their ages . the total was number0 kate is number1 and maggie is number2 howold is sue ?	- - number0 number1 number2
there were number0 geese and number1 ducks in the marsh .how many birds were there in all ?	+ number0 number1
carl on the other hand was able to collect number0 stamps which are number1 more than what mark was able to collect .how many stamps was mark able to collect ?	- number0 number1
a chef had number0 potatoes to make fries with but he only used number1 of them .how many potatoes does he still have ?	- number0 number1
at billy 's restaurant a group with number0 adults and number1 children came in to eat . if each meal cost number2 dollarshow much was the bill ?	* + number0 number1 number2
dave had number0 video games but number1 of them were n't working . if he wanted to sell the working games for $ number2 eachhow much money could he earn ?	* - number0 number1 number2
roger mowed his lawn number0 times total during the spring and summer . if he mowed it number1 times in the summer .how many times did he mow in the spring ?	- number0 number1
tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2how much should tom pay ?	* number1 number2
while playing a video game ned lost number0 lives . now he has number1 lives .how many lives did ned have at the start ?	+ number0 number1
shannon brenda 's neighbor joined brenda in making bracelets . she brought number0 heart-shaped stones and wanted to have number1 of this type of stone in each of the bracelet she makes .how many bracelets with heart-shaped stones can shannon make ?	/ number0 number1
when amy got to the fair she had $ number0 . when she left she had $ number1 .how much money did she spend at the fair ?	- number0 number1
at the schools book fair sam bought number0 adventure books and number1 mystery books . if number2 of the books were usedhow many new books did he buy ?	- + number0 number1 number2
savant has number0 jars . he puts in number1 coins in the first jar number2 coins in the second jar and number3 coins in the third jar .how many coins does savant save together ?	+ + number1 number2 number3
a chef had number0 apples . if he used number1 of them to make a piehow many apples would he still have ?	- number0 number1
after they vacation they figured out that the farm was divided into number0 sections and each section has a land area of number1 acres .what is the total area of the farm ?	* number1 number0
anthony gets number0 cents every day for lunch . he bought a juice box for number1 cents . he also bought a cupcake . anthony had number2 cents left .how much did the cupcake cost ?	- - number0 number1 number2
if tom plans to fix number0 watches at the rate of number1 watches per dayhow many days does he need to fix the watches ?	/ number0 number1
in the first half of a trivia game kaleb scored number0 points . in the second half he scored number1 points .how many points did he score total ?	+ number0 number1
for lunch number0 students selected chocolate milk number1 selected strawberry milk and number2 selected regular milk .how many milks were taken total ?	+ + number0 number1 number2
it takes mike number0 minutes to walk to school . if he rides a bicycle to school it would save him number1 minutes .how much time did mike save ?	- number0 number1
last stop in their field trip was the aquarium . penny identified number0 species of sharks number1 species of eels and number2 different species of whales .how many species was penny able to identify ?	+ + number0 number1 number2
when she came back to her mother she returned $ number0 worth of change . from the initial $ number1 that her mom gave herhow much money in total did she spend on buying groceries ?	- number1 number0
the group then went on to check out the houses along broadway street and the scary werewolf avenue . after the long walk they decided to count their candy again . if mary has number0 chewing gums sam has number1 chewing gums and sue has number2 chewing gumshow many chewing gums did the number3 have in all ?	+ + number0 number1 number2
lisa rented number0 dvds for $ number1 .how much did each dvd cost to rent ?	/ number1 number0
brad has number0 balloons . number1 balloons are red and the rest are green .how many green balloons does brad have ?	- number0 number1
for halloween tom received number0 pieces of candy . if he put them into piles with number1 in each pilehow many piles could he make ?	/ number0 number1
while playing at the arcade kaleb won number0 tickets playing 'whack a mole ' and number1 tickets playing 'skee ball ' . if he was trying to buy candy that cost number2 tickets a piecehow many could he buy ?	/ + number0 number1 number2
adam had some quarters . he spent number0 of them at the arcade and had number1 left over .how many quarters did he have to start with ?	+ number0 number1
there number0 colored lights on a christmas tree . number1 of them are red number2 of them are yellow and the rest are blue .how many blue lights are there on the christmas tree ?	- - number0 number1 number2
after buying a dress he went to a gardening store and bought his mom some ornamental plants . if the plants originally cost $ number0 and he was able to get a $ number1 discounthow much did he actually spend on buying the plants ?	- number0 number1
nancy picked number0 carrots from her garden . if she threw out number1 of them and then picked number2 more the next dayhow many carrots would she have total ?	+ - number0 number1 number2
jerry owned number0 video games . for his birthday he got number1 more .how many games did jerry have total ?	+ number0 number1
edward 's dad bought number0 centimeters of string . if he cut the string into number1 equal pieceswhat would be the length of each piece ?	/ number0 number1
at a store there are number0 computers . number1 are sold . number2 are shipped away to a company .how many computers are left ?	- - number0 number1 number2
corey earns extra money finding lost golf balls . his goal is to find number0 golfballs every weekend . he found number1 golf balls on saturday . he found number2 more golf balls on sunday .how many more golf balls does corey need to find to reach his goal ?	- - number0 number1 number2
a waiter at 'the greasy spoon ' restaurant had number0 customers to wait on . during the lunch rush he added another number1 customers . if number2 of the customers did n't leave him a tiphow many customers did leave a tip ?	- + number0 number1 number2
coach mike bought several cups of lemonade . the girls told him it would cost number0 cents . the coach gave the girls number1 cents .how much change did coach mike get back ?	- number1 number0
ryan collected number0 leaves . he lost number1 leaves and threw away number2 leaves .how many leaves did ryan have left ?	- - number0 number1 number2
there are number0 students and number1 apples . each student has number2 skittles . if the apples are divided equally among the studentshow many does each student get ?	/ number1 number0
mr. lee wants to load number0 tons of his fruits . a large truck can load number1 tons of fruits and small truck can load number2 tons . in order to use the least number of trucks and have every truck fully occupiedhow many large trucks should be used ?	/ number0 number1
mrs. hilt read number0 books . each book had number1 chapters in it .how many chapters did mrs. hilt read ?	* number0 number1
sam invited number0 friends to a birthday party but number1 could n't come . if he wanted to buy enough cupcakes so each person could have exactly number2how many should he buy ?	* - number0 number1 number2
mrs. hilt had number0 marbles . she lost number1 of them .how many marbles does she have left ?	- number0 number1
at a carnival there are number0 kids teenagers and adults waiting to get in . number1 are teenagers number2 are adults and the rest are kids .how many kids are waiting in line at the carnival ?	- - number0 number1 number2
ramon works at the supermarket . he put number0 boxes of choco delights on the shelf . there were already number1 boxes there . later that day ramon counted number2 boxes on the shelf .how many boxes of choco delights were missing ?	+ - number0 number2 number1
a waiter had number0 customers to wait on . if number1 customers left and he got another number2 customershow many customers would he have ?	+ - number0 number1 number2
after the final bell rang buddy ran to the school bus with his new friends . on his ride home he counted number0 students sitting on the left side of the bus and number1 sitting on the right .how many students are on the bus ride home ?	+ number0 number1
tiffany was buying hand towels for her house . she bought number0 packs with each pack having number1 towels in it .how many towels did she buy ?	* number0 number1
matt and his friends were thinking of making christmas decors for the clubhouse in their neighborhood . they are to repaint number0 balls in number1 different colors . if they painted an equal number of balls for every colorhow many balls are there for each color ?	/ number0 number1
haley 's favorite band was holding a concert where tickets were number0 dollars each . haley bought number1 tickets for herself and her friends and number2 extra tickets in case anyone else wanted to go .how much did she spend ?	* + number1 number2 number0
rosa had number0 flowers . andre gave her some more flowers . now rosa has number1 flowers .how many flowers did andre give to rosa ?	- number1 number0
a pet store had number0 siamese cats . if they sold number1 of themhow many cats did they still have ?	- number0 number1
dora is having her number0 birthday party next saurday . she invited number1 people . her mom ordered number2 sandwiches . number3 people can not come to the party .how many people will be at dora 's party ?	- number1 number3
robert made $ number0 at work . he spent $ number1 on a pen and $ number2 for a calculator .how much money did he have left ?	- - number0 number1 number2
after giving out clothes he invited the homeless to the nearest soup kitchen to give them a proper meal . if he fed number0 men and number1 womenhow many homeless people was he able to feed ?	+ number0 number1
there are number0 students going to a trivia competition . if each school van can hold number1 studentshow many vans will they need ?	/ number0 number1
on the actual day of annie 's birthday almost everyone in her class came to surprise her . if annie has number0 girl classmates number1 boy classmates and number2 teachers in her classhow many people attended her birthday party ?	+ + number0 number1 number2
the razorback t-shirt shop ordered number0 cases of t-shirts . if each case contains number1 t-shirtshow many t-shirts did they order ?	* number0 number1
i have number0 pencils . if i put number1 pencils in each pencil boxhow many pencil boxes will i fill ?	/ number0 number1
a store had number0 coloring books in stock . they ended up putting them on sale and getting rid of number1 of them . the put the number2 they still had onto shelves with number3 on each shelf .how many shelves did they use ?	/ - number0 number1 number3
it is easter time and the kids in the neighborhood of easterville are very excited about the annual easter egg hunt . the parents have decided to hide the eggs in a lot of different places . they hid number0 eggs around the club house number1 eggs around the village park and number2 eggs in the town hall garden .how many eggs were hidden in total ?	+ + number0 number1 number2
a furniture store had number0 chairs . after selling some there was number1 left .what 's the difference between the number of chairs before selling and the left ?	- number0 number1
gwen prepared number0 books to sell in the flea market . after the activity ended she had number1 books left .how many did she sell ?	- number0 number1
it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily .how many apples are harvested every day ?	* number0 number1
at the fair dave rode number0 rides the first day he went and number1 rides the second day .how many times did he ride total ?	+ number0 number1
an ice company charged $ number0 for number1 bags of ice . if a convenience store bought number2 bags of icehow much would it have cost them ?	* / number0 number1 number2
a waiter had number0 customers . if number1 lefthow many customers would the waiter still have ?	- number0 number1
dave was picking up sticks from his yard . he picked up number0 but there were still number1 left .what 's the difference between the number of sticks that dave picked up and the left ?	- number0 number1
jasmine also bought some chips for her friends in which she got for a discount of $ number0 . if the chips originally cost $ number1how much did she actually spend on chips ?	- number1 number0
after visiting france rachel 's sister bella requested that they see the buckingham palace in london . if they travelled number0 miles by land and number1 miles by sea across the english channelwhat is the total distance that they travelled ?	+ number0 number1
a chef used number0 cherries to make a pie . now he has number1 cherries left .how many cherries did he have before he made the pie ?	+ number0 number1
the book fair had a sale where number0 books were $ number1 . if you wanted to buy number2 bookshow much money would you need ?	* / number1 number0 number2
megan had number0 markers . robert gave her number1 more markers .how many markers does megan have altogether ?	+ number0 number1
determined to have fun they travelled to the next amusement park happyland . if they cover a distance of number0 feet for every minute of travel and they travelled for number1 minuteshow far is happyland from sfl ?	* number0 number1
on facebook debby had number0 photos of her friends and number1 photos of her family .how many photos did she have total ?	+ number0 number1
oliver had number0 cherries . after eating some he had number1 left .what 's the difference between the number of cherries that oliver had before eating and the left after eating ?	- number0 number1
a pet store had number0 birds that talked and number1 that did n't .how many birds did the pet store have total ?	+ number0 number1
while playing a game frank defeated number0 enemies . each enemy earned him number1 points . then he got another number2 points for completing the level .how many points did he earn total ?	+ * number0 number1 number2
tom already had number0 pieces of candy . his friend gave him number1 more and then tom bought another number2 howmany pieces does tom have now ?	+ + number0 number1 number2
number0 students split number1 portfolios of paintings . each student should get the same number of portfolios .how many portfolios of paintings will each of them get ?	/ number1 number0
at the first day back in school her parents bought her different colored pens . if her parents bought her number0 pens and she gave number1 of those to her friendshow many pens were left for her to use ?	- number0 number1
lucy has an aquarium with number0 fish . she wants to buy number1 more fish .how many fish would lucy have then ?	+ number0 number1
tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birdshow many pairs does he have in total ?	* number0 number1
a restaurant has number0 pieces of cutlery . number1 are forks number2 are knives and the rest are spoons .how many spoons are there ?	- - number0 number1 number2
annie also planned the time she would spend going around the number0 blocks in her village . if she plans on spending just number1 minutes on each blockhow much time would it take for her to finish trick or treating ?	* number0 number1
winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away for winterhow many bird families were left near the mountain ?	- number0 number1
if simon needs to make number0 gift bags at a rate of number1 bags per dayhow many days does he need to finish making all the gift boxes ?	/ number0 number1
paul got a box of number0 crayons for his birthday . at the end of the school year he only had number1 left .how many crayons had been lost or given away ?	- number0 number1
paige had number0 math problems and number1 science problems for homework . if she finished number2 of the problems at schoolhow many problems did she have to do for homework ?	- + number0 number1 number2
before his friends gave him more stamps simon initially had number0 stamps . if he now has number1 stampshow many stamps did he receive from his friends ?	- number1 number0
shelby had number0 pieces of candy . she gave number1 pieces each to number2 friends .how many pieces of candy does shelby have left ?	- number0 * number1 number2
todd had number0 cents in his pocket . he bought a candy bar for number1 cents . he bought a box of cookies for number2 cents .how much money did todd spend altogether ?	+ number1 number2
another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fisheshow many fishes does he have in total ?	* number0 number1
isabel had number0 ds games . if she gave number1 to her friendhow many would she have left ?	- number0 number1
iesha has number0 books . number1 are about school and the rest are about sports .how many books about sports does iesha have ?	- number0 number1
third-grade students went to a concert in number0 buses . each bus took number1 students .how many students went to the concert ?	* number0 number1
there are number0 seats in a movie theater . if the movie theater has number1 sections with the same number of seats in each sectionhow many seats are in each section ?	/ number0 number1
with the end of the month coming in number0 days they decided to sell cookies to the neighboring villages as well . if they sold number1 packs on number2 village and number3 on the otherhow many cookies were they able to sell in the other villages ?	+ number1 number3
the next museum on her list is the guggenheim in new york as well . there she gave number0 sets of egyptian mask from her collection of number1 howmany sets of masks were left in alicia 's collection ?	- number1 number0
when maria got to the fair she had $ number0 . when she left she had $ number1 .what 's the difference between the number of dollars when maria got and left the fair ?	- number0 number1
zach scored number0 points in the football game . ben scored number1 points .how many more points did zach score ?	- number0 number1
a number machine changes the value of the numbers placed inside it . my number machine will add number0 to a number and then subtract number1 from the sum . if i put in the number number2what number will come out of the machine ?	- + number2 number0 number1
an architect was building a hotel downtown . he bought number0 lamps to put in the rooms . if each room gets number1 lampshow many rooms does the hotel have ?	/ number0 number1
oliver was weighing boxes for moving . the first was number0 pounds the second was number1 pounds and the last was number2 pounds .what 's the difference between the weight of the first box and the third box ?	- number2 number0
lastly she donated $ number0 to number1 different soup kitchens in her town . if she gave $ number2 to the first soup kitchen and $ number3 to the secondhow much did she donate to the third ?	- number0 + number2 number3
billy bought number0 boxes of candy with each box having number1 pieces inside of it .how many pieces of candy did he have totaled ?	* number0 number1
a vase can hold number0 flowers . if you had number1 carnations and number2 roseshow many vases would you need to hold the flowers ?	/ + number1 number2 number0
he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day .how many sacks of oranges will they have after number1 days of harvest ?	* number0 number1
there are number0 pots . each pot has number1 flowers in it .how many flowers are there in all ?	* number0 number1
mrs. hilt wants to make a border around her garden . she needs number0 rocks to complete the border . she has number1 rocks .how many more rocks does she need to complete the border ?	- number0 number1
adam could fit number0 action figures on each shelf in his room . his room has number1 shelves .how many action figures total could his shelves hold ?	* number0 number1
alyssa has number0 books in her library . she bought several books at a yard sale over the weekend . she now has number1 books in her library .how many books did she buy at the yard sale ?	- number1 number0
number0 stamp costs $ number1 . number2 stamps cost $ number3 . number4 stamps cost $ number5 . if the cost of each stamp remains the samehow much would number6 stamps cost ?	+ number5 number1
at a restaurant each adult meal costs $ number0 and kids eat free . if a group of number1 people came in and number2 were kidshow much would it cost for the group to eat ?	* - number1 number2 number0
zoe had number0 bottles of water in her fridge . if she drank number1 of them and then bought number2 morehow many bottles would she have ?	+ - number0 number1 number2
a pallet of boxes weighed number0 kilograms . if there were number1 boxes on the pallet and each box weighed the same amounthow much did each weigh ?	/ number0 number1
sarah picked number0 apples . her brother picked number1 apples .how many times as many apples did sarah pick ?	/ number0 number1
the store has cd 's and dvd 's that you need .how many packs of dvd 's can you buy with number0 dollars if number1 pack costs number2 dollars ?	/ number0 number2
while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have number0 nails left and charlie bought number1 boxes of nails the big number2 containing number3 nails and the small number4 containing number5how many nails will they have ?	+ + number0 number5 number3
there were number0 laptops in the shop and mike divided them equally into number1 rows .how many laptops are there in each row ?	/ number0 number1
kevin collected toys to use as prizes at the fair . he collected number0 stuffed animals . he also collected number1 frisbees and several yo-yos . kevin has number2 prizes in all .how many yo-yos did kevin collect ?	- - number2 number1 number0
edward earned number0 dollars for every lawn he mowed . if he mowed number1 lawns and he already had number2 dollars saved uphow much money does he have total ?	+ * number1 number0 number2
our class got number0 books from the library . then we got number1 more books from the library .how many books did our class get from the library ?	+ number0 number1
an architect was building a hotel downtown . he built it number0 stories tall with number1 rooms on each story .how many rooms does the hotel have totaled ?	* number0 number1
oliver had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . if he had only washed number2 of them by the time school startedhow many did he not wash ?	- + number0 number1 number2
if number0 pack costs number1 dollarshow many packs of dvd 's can you buy with number2 dollars ?	/ number2 number1
a large bag of balls was kept under haley 's bed . her mom placed the balls in bags for children in foster homes . if every bag can contain number0 balls and haley has number1 ballshow many bags will be used ?	/ number1 number0
richard and bruno played miniature golf . richard 's score was number0 bruno 's score was number1 points lower than richard 's score .what was bruno 's score ?	- number0 number1
lukas averages number0 points per game in basketball .how many points would he score in number1 games ?	* number0 number1
there are number0 pounds of sand to be filled into bags . if each bag has a capacity of number1 poundshow many bags are needed ?	/ number0 number1
katie had number0 pencils in her desk and number1 more in her backpack .how many did she have total ?	+ number0 number1
mike had number0 books but he sold number1 at a garage sale .how many books does mike still have ?	- number0 number1
billy had number0 lemon heads . if billy gave equal numbers of lemon heads to his number1 friendshow many lemon heads did each person eat ?	/ number0 number1
at the arcade amy had number0 tickets she saved from the last time she went . this time she played a game number1 times and earned number2 tickets each time she played .how many tickets does she have now ?	+ * number1 number2 number0
there are some passengers on a bus . at a bus stop number0 more passengers got on the bus and number1 passengers got off . if there are number2 passengers in the bus in the endhow many passengers were there at first ?	- + number2 number1 number0
albert is inviting number0 friends to a party . he has number1 cookies .how many cookies will each friend get ?	/ number1 number0
there are number0 questions on the math test . number1 questions are word problems . number2 questions are addition and subtraction problems . steve can only answer number3 questions .what 's the difference between the number of all questions on the math test and the number of questions that steve can answer ?	- number0 number3
the map led them through the forest and into a cave . to open the cave doors they need to put weights on the switch . if the switch already has number0 lbs . of weights and the total needed is number1 lbs .how much more weight to they need to add ?	- number1 number0
gavin has number0 shirts . number1 are blue the rest are green .how many green shirts does gavin have ?	- number0 number1
emily was playing a trivia game . in the first round she scored number0 points and in the second round she scored number1 points . in the last round she lost number2 points .how many points did she have at the end of the game ?	- + number0 number1 number2
there are number0 questions on the math test . number1 questions are word problems . number2 questions are addition and subtraction problems . steve can only answer number3 questions .how many questions did steve leave blank ?	- number0 number3
upon arriving at the school buddy immediately went to his teacher where he was introduced to all the third grade students in the school . there were number0 girl students and number1 boy students .how many third graders did buddy meet in the school ?	+ number0 number1
cody cooked number0 dumplings . he ate number1 .how many dumplings does cody have now ?	- number0 number1
alex had some candles for his jack o'lanterns . he used number0 of them . now he has number1 left .how many candles did alex have to start with ?	+ number0 number1
lawrence has number0 marbles . if he shares them among number1 friendshow many marbles does each friend get ?	/ number0 number1
there were number0 dollars in olivia 's wallet . after she visited a supermarket there were number1 dollars left .how much did she spend ?	- number0 number1
after going down the falls he then went to rock mist mountains . if the mountain is number0 times farther from the city than sky falls and sky falls is number1 miles from the cityhow far is the rocky mist from the city ?	* number0 number1
at the arcade billy had won number0 tickets . after buying a yoyo he had number1 tickets left .how many tickets did the yoyo cost ?	- number0 number1
